No;Date;Open;High;Low;Close;Volume;;;
427;Sep 12, 2022;1.720,50;1.720,50;1.697,30;1.705,00;432,00;;;
428;Sep 13, 2022;1.698,70;1.701,80;1.696,50;1.696,50;532,00;;;
429;Sep 14, 2022;1.685,50;1.686,00;1.662,30;1.665,40;1.125,00;;;
430;Sep 15, 2022;1.660,40;1.674,90;1.651,70;1.671,70;464,00;;;
431;Sep 18, 2022;1.661,80;1.669,40;1.658,50;1.666,20;580,00;;;
432;Sep 19, 2022;1.659,70;1.659,70;1.659,70;1.659,70;283,00;;;
433;Sep 20, 2022;1.665,50;1.680,10;1.664,60;1.664,60;2.337,00;;;
434;Sep 21, 2022;1.668,30;1.670,80;1.668,30;1.670,80;973,00;;;
435;Sep 22, 2022;1.667,00;1.667,00;1.645,30;1.645,30;1.224,00;;;
436;Sep 25, 2022;1.623,30;1.623,30;1.623,30;1.623,30;1.205,00;;;
437;Sep 26, 2022;1.632,20;1.636,60;1.626,70;1.626,70;888,00;;;
438;Sep 27, 2022;1.620,40;1.660,40;1.620,40;1.660,40;18.311,00;;;
439;Sep 28, 2022;1.657,00;1.662,60;1.640,00;1.658,50;6.028,00;;;
440;Sep 29, 2022;1.661,70;1.672,70;1.658,00;1.662,40;548,00;;;
441;Oct 02, 2022;1.667,20;1.700,00;1.661,90;1.692,90;410,00;;;
442;Oct 03, 2022;1.701,20;1.728,00;1.696,00;1.721,10;291,00;;;
443;Oct 04, 2022;1.724,10;1.726,60;1.703,00;1.711,40;418,00;;;
444;Oct 05, 2022;1.721,00;1.723,30;1.709,10;1.711,70;133,00;;;
445;Oct 06, 2022;1.710,10;1.710,10;1.693,70;1.700,50;179,00;;;
446;Oct 09, 2022;1.693,40;1.693,40;1.667,00;1.667,30;195,00;;;
447;Oct 10, 2022;1.661,80;1.678,70;1.661,00;1.678,70;167,00;;;
448;Oct 11, 2022;1.668,00;1.672,70;1.668,00;1.670,30;149,00;;;
449;Oct 12, 2022;1.675,20;1.675,30;1.641,50;1.670,00;729,00;;;
450;Oct 13, 2022;1.665,30;1.667,00;1.640,00;1.641,70;82,00;;;
451;Oct 16, 2022;1.650,20;1.657,00;1.646,80;1.657,00;238,00;;;
452;Oct 17, 2022;1.651,40;1.655,20;1.649,00;1.649,00;597,00;;;
453;Oct 18, 2022;1.637,50;1.637,50;1.627,50;1.627,50;84,00;;;
454;Oct 19, 2022;1.622,80;1.641,40;1.622,80;1.630,80;477,00;;;
455;Oct 20, 2022;1.634,10;1.653,90;1.634,10;1.651,00;224,00;;;
456;Oct 23, 2022;1.662,70;1.662,70;1.648,70;1.648,70;29,00;;;
457;Oct 24, 2022;1.648,20;1.652,80;1.637,30;1.652,80;880,00;;;
458;Oct 25, 2022;1.649,80;1.667,00;1.649,80;1.664,00;89,00;;;
459;Oct 26, 2022;1.660,70;1.660,70;1.660,70;1.660,70;2.298,00;;;
460;Oct 27, 2022;1.661,00;1.661,00;1.638,70;1.639,60;626,00;;;
461;Oct 30, 2022;1.641,80;1.641,80;1.633,40;1.635,90;522,00;;;
462;Oct 31, 2022;1.630,80;1.653,70;1.630,80;1.645,00;985,00;;;
463;Nov 01, 2022;1.650,80;1.664,70;1.634,00;1.645,70;612,00;;;
464;Nov 02, 2022;1.629,20;1.629,20;1.615,10;1.627,30;1.427,00;;;
465;Nov 03, 2022;1.630,20;1.674,50;1.629,00;1.672,50;159,00;;;
466;Nov 07, 2022;1.676,90;1.677,90;1.672,90;1.676,50;42,00;;;
467;Nov 08, 2022;1.703,20;1.712,10;1.703,20;1.712,10;23,00;;;
468;Nov 09, 2022;1.707,40;1.720,20;1.706,00;1.710,10;497,00;;;
469;Nov 10, 2022;1.708,20;1.750,30;1.708,20;1.750,30;325,00;;;
470;Nov 11, 2022;1.763,80;1.766,00;1.757,60;1.766,00;257,00;;;
471;Nov 14, 2022;1.762,00;1.773,60;1.761,60;1.773,60;358,00;;;
472;Nov 15, 2022;1.770,80;1.773,80;1.769,90;1.773,80;57,00;;;
473;Nov 16, 2022;1.776,60;1.778,90;1.773,00;1.773,00;303,00;;;
474;Nov 17, 2022;1.763,00;1.763,00;1.756,00;1.760,80;18,00;;;
475;Nov 18, 2022;1.763,30;1.763,30;1.747,60;1.751,90;414,00;;;
476;Nov 21, 2022;1.739,00;1.744,90;1.736,10;1.737,40;544,00;;;
477;Nov 22, 2022;1.741,70;1.741,70;1.738,30;1.738,30;15,00;;;
478;Nov 23, 2022;1.736,50;1.750,90;1.736,50;1.744,90;39,00;;;
479;Nov 25, 2022;1.753,00;1.757,90;1.749,20;1.753,30;216,00;;;
480;Nov 28, 2022;1.741,30;1.741,30;1.740,10;1.740,10;132.767,00;;;
481;Nov 29, 2022;1.739,50;1.758,20;1.737,90;1.748,40;19.416,00;;;
482;Nov 30, 2022;1.748,10;1.769,40;1.745,10;1.746,00;3.339,00;;;
483;Dec 01, 2022;1.768,70;1.803,70;1.768,70;1.801,10;1.053,00;;;
484;Dec 02, 2022;1.802,00;1.802,30;1.779,40;1.795,90;1.725,00;;;
485;Dec 05, 2022;1.795,70;1.808,00;1.764,30;1.767,40;1.713,00;;;
486;Dec 06, 2022;1.768,60;1.779,40;1.767,90;1.769,30;105,00;;;
487;Dec 07, 2022;1.769,30;1.790,30;1.769,30;1.785,50;422,00;;;
488;Dec 08, 2022;1.782,00;1.790,90;1.782,00;1.788,70;713,00;;;
489;Dec 09, 2022;1.794,90;1.804,30;1.791,10;1.798,10;125,00;;;
490;Dec 12, 2022;1.787,30;1.793,90;1.777,70;1.780,50;85,00;;;
491;Dec 13, 2022;1.780,70;1.819,80;1.780,50;1.813,90;205,00;;;
492;Dec 14, 2022;1.810,80;1.812,80;1.797,90;1.807,50;1.074,00;;;
493;Dec 15, 2022;1.801,00;1.801,00;1.774,80;1.777,20;421,00;;;
494;Dec 16, 2022;1.777,90;1.791,40;1.777,90;1.790,00;206,00;;;
495;Dec 19, 2022;1.791,60;1.796,30;1.785,60;1.787,70;79,00;;;
496;Dec 20, 2022;1.786,50;1.821,40;1.786,50;1.815,90;51,00;;;
497;Dec 21, 2022;1.817,40;1.821,40;1.814,40;1.815,90;35,00;;;
498;Dec 22, 2022;1.818,10;1.818,10;1.785,00;1.787,00;411,00;;;
499;Dec 23, 2022;1.794,30;1.802,80;1.794,10;1.795,90;49,00;;;
500;Dec 27, 2022;1.803,40;1.826,30;1.803,40;1.814,80;69,00;;;
501;Dec 28, 2022;1.803,20;1.807,90;1.803,10;1.807,90;434,00;;;
502;Dec 29, 2022;1.805,80;1.819,50;1.805,80;1.819,50;277,00;;;
503;Dec 30, 2022;1.817,00;1.822,30;1.816,80;1.819,70;95,00;;;
504;Jan 03, 2023;1.836,20;1.839,70;1.836,20;1.839,70;29,00;;;
505;Jan 04, 2023;1.845,60;1.859,10;1.845,60;1.852,80;25,00;;;
506;Jan 05, 2023;1.855,20;1.855,20;1.834,80;1.834,80;24,00;;;
507;Jan 06, 2023;1.838,40;1.868,20;1.835,30;1.864,20;26,00;;;
508;Jan 09, 2023;1.867,00;1.880,00;1.867,00;1.872,70;62,00;;;
509;Jan 10, 2023;1.877,80;1.878,10;1.871,60;1.871,60;101,00;;;
510;Jan 11, 2023;1.873,10;1.877,80;1.873,10;1.874,60;1.236,00;;;
511;Jan 12, 2023;1.877,20;1.897,40;1.877,20;1.895,50;59,00;;;
512;Jan 13, 2023;1.899,00;1.920,90;1.898,30;1.918,40;512,00;;;
513;Jan 17, 2023;1.920,10;1.920,10;1.905,20;1.907,20;706,00;;;
514;Jan 18, 2023;1.911,10;1.911,10;1.903,10;1.904,40;1.027,00;;;
515;Jan 19, 2023;1.922,10;1.931,80;1.922,10;1.922,10;371,00;;;
516;Jan 20, 2023;1.922,10;1.928,50;1.921,40;1.926,40;1.346,00;;;
517;Jan 23, 2023;1.926,50;1.927,10;1.915,00;1.927,10;218,00;;;
518;Jan 24, 2023;1.931,80;1.936,80;1.931,80;1.933,90;201,00;;;
519;Jan 25, 2023;1.941,20;1.941,20;1.939,80;1.941,20;7,00;;;
520;Jan 26, 2023;1.936,60;1.937,10;1.927,10;1.929,10;131,00;;;
521;Jan 27, 2023;1.928,60;1.928,60;1.928,60;1.928,60;150.902,00;;;
522;Jan 30, 2023;1.928,30;1.933,60;1.920,30;1.922,90;2.722,00;;;
523;Jan 31, 2023;1.923,00;1.930,40;1.900,60;1.929,50;191,00;;;
524;Feb 01, 2023;1.927,20;1.955,00;1.922,00;1.927,80;229,00;;;
525;Feb 02, 2023;1.952,30;1.959,10;1.911,30;1.916,30;748,00;;;
526;Feb 03, 2023;1.912,40;1.917,00;1.861,50;1.862,90;992,00;;;
527;Feb 06, 2023;1.865,60;1.880,00;1.863,40;1.866,20;424,00;;;
528;Feb 07, 2023;1.870,00;1.875,70;1.868,00;1.871,70;297,00;;;
529;Feb 08, 2023;1.872,10;1.880,40;1.872,10;1.877,40;230,00;;;
530;Feb 09, 2023;1.875,30;1.884,60;1.859,80;1.866,20;223,00;;;
531;Feb 10, 2023;1.861,60;1.863,50;1.852,40;1.862,80;27,00;;;
532;Feb 13, 2023;1.859,00;1.861,00;1.850,00;1.851,90;569,00;;;
533;Feb 14, 2023;1.854,10;1.862,00;1.846,20;1.854,00;656,00;;;
534;Feb 15, 2023;1.842,00;1.842,00;1.828,20;1.834,20;368,00;;;
535;Feb 16, 2023;1.838,60;1.843,70;1.827,20;1.842,00;222,00;;;
536;Feb 17, 2023;1.827,40;1.842,20;1.818,40;1.840,40;35,00;;;
537;Feb 21, 2023;1.842,60;1.843,00;1.833,00;1.833,00;862,00;;;
538;Feb 22, 2023;1.835,70;1.836,20;1.825,10;1.832,00;278,00;;;
539;Feb 23, 2023;1.826,40;1.827,50;1.818,00;1.818,00;291,00;;;
540;Feb 24, 2023;1.808,80;1.808,80;1.808,80;1.808,80;404,00;;;
541;Feb 27, 2023;1.811,60;1.817,50;1.808,90;1.817,00;829,00;;;
542;Feb 28, 2023;1.808,10;1.830,00;1.808,10;1.828,90;618,00;;;
543;Mar 01, 2023;1.827,10;1.841,70;1.827,10;1.837,70;211,00;;;
544;Mar 02, 2023;1.830,00;1.836,30;1.830,00;1.833,50;154,00;;;
545;Mar 03, 2023;1.837,30;1.855,40;1.837,30;1.847,70;61,00;;;
546;Mar 06, 2023;1.853,30;1.853,80;1.844,20;1.847,90;5,00;;;
547;Mar 07, 2023;1.840,90;1.840,90;1.813,90;1.813,90;450,00;;;
548;Mar 08, 2023;1.811,60;1.812,90;1.811,50;1.812,70;75,00;;;
549;Mar 09, 2023;1.816,40;1.829,30;1.815,60;1.829,30;332,00;;;
550;Mar 10, 2023;1.852,30;1.868,50;1.852,00;1.862,00;248,00;;;
